Waiting Time,ALTERAR.Queue,0.2276
Waiting Time,APP.Queue,0.3538
Waiting Time,BD.Queue,0.3034
Waiting Time,CONSULTAR.Queue,0.3518
Waiting Time,LOGIN.Queue,0.5227
Number Waiting,ALTERAR.Queue,0.07601337
Number Waiting,APP.Queue,0.2731
Number Waiting,BD.Queue,0.2530
Number Waiting,CONSULTAR.Queue,0.1759
Number Waiting,LOGIN.Queue,0.4035
Instantaneous Utilization,ResourceAlterar,0.2416
Instantaneous Utilization,ResourceApp,0.3955
Instantaneous Utilization,ResourceBD,0.3984
Instantaneous Utilization,ResourceConsultar,0.3436
